Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Patty Mills ,33,81,48,2346,324,794,.408,227,568,.400,97,226,.429,.551,48,59,.814,18,138,156,183,51,17,73,112,923
2,Kevin Durant ,33,55,55,2047,578,1115,.518,115,300,.383,463,815,.568,.570,372,409,.910,29,378,407,351,48,52,191,113,1643
3,Bruce Brown ,25,72,45,1774,256,506,.506,38,94,.404,218,412,.529,.543,97,128,.758,100,245,345,148,77,52,56,176,647
4,James Harden ,32,44,44,1627,292,706,.414,102,307,.332,190,399,.476,.486,304,350,.869,42,309,351,447,56,31,212,105,990
5,James Johnson ,34,62,10,1191,144,307,.469,23,85,.271,121,222,.545,.507,29,55,.527,51,164,215,130,30,34,48,162,340
6,Cam Thomas ,20,67,2,1176,218,503,.433,47,174,.270,171,329,.520,.480,87,105,.829,16,145,161,78,33,8,55,66,570
7,Kyrie Irving ,29,29,29,1091,289,616,.469,100,239,.418,189,377,.501,.550,118,129,.915,16,111,127,167,41,17,73,81,796
8,LaMarcus Aldridge ,36,47,12,1050,252,458,.550,14,46,.304,238,412,.578,.566,89,102,.873,73,185,258,42,14,47,44,78,607
9,Kessler Edwards ,21,48,23,987,110,267,.412,48,136,.353,62,131,.473,.502,16,19,.842,44,128,172,31,29,24,42,85,284
10,Nic Claxton ,22,47,19,974,178,264,.674,0,0,.000,178,264,.674,.674,54,93,.581,91,173,264,43,24,51,38,110,410
11,Blake Griffin ,32,56,24,958,133,313,.425,38,145,.262,95,168,.565,.486,55,76,.724,60,168,228,105,27,14,31,95,359
12,DeAndre' Bembry ,27,48,20,949,121,213,.568,15,36,.417,106,177,.599,.603,21,35,.600,38,114,152,60,47,25,30,104,278
13,Seth Curry ,31,19,19,569,104,211,.493,58,124,.468,46,87,.529,.630,18,21,.857,4,45,49,49,17,3,25,47,284
14,Jevon Carter ,26,46,1,552,58,174,.333,42,127,.331,16,47,.340,.454,7,10,.700,9,58,67,46,14,10,26,45,165
15,Andre Drummond ,28,24,24,535,119,195,.610,0,1,.000,119,194,.613,.610,44,82,.537,93,154,247,34,22,23,36,71,282
16,Joe Harris ,30,14,14,423,56,124,.452,41,88,.466,15,36,.417,.617,5,6,.833,5,51,56,14,7,2,16,31,158
17,Goran Dragić ,35,16,6,408,44,117,.376,12,49,.245,32,68,.471,.427,17,23,.739,11,40,51,77,14,3,33,37,117
18,List Endington ,0,0,0,0,0,0,.000,0,0,.000,0,0,.000,.000,0,0,.000,0,0,0,0,0,0,0,0,0
