Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mikal Bridges ,25,82,82,2854,458,858,.534,115,312,.369,343,546,.628,.601,131,157,.834,74,273,347,185,96,36,68,150,1162
2,Devin Booker ,25,68,68,2345,662,1421,.466,183,478,.383,479,943,.508,.530,315,363,.868,45,297,342,329,77,26,162,180,1822
3,Chris Paul ,36,65,65,2139,363,736,.493,63,199,.317,300,537,.559,.536,169,202,.837,22,261,283,702,121,20,153,134,958
4,Jae Crowder ,31,67,67,1886,217,544,.399,127,365,.348,90,179,.503,.516,71,90,.789,30,324,354,124,95,30,55,173,632
5,Cameron Johnson ,25,66,16,1730,279,607,.460,166,391,.425,113,216,.523,.596,98,114,.860,42,231,273,99,57,16,47,113,822
6,Deandre Ayton ,23,58,58,1713,442,697,.634,7,19,.368,435,678,.642,.639,106,142,.746,149,444,593,84,40,40,91,142,997
7,Landry Shamet ,24,69,14,1437,191,485,.394,123,334,.368,68,151,.450,.521,68,81,.840,16,110,126,108,28,9,41,92,573
8,Cameron Payne ,27,58,12,1278,240,587,.409,71,211,.336,169,376,.449,.469,75,89,.843,24,151,175,282,40,17,103,119,626
9,JaVale McGee ,34,74,17,1172,288,458,.629,2,9,.222,286,449,.637,.631,102,146,.699,163,333,496,42,22,81,98,181,680
10,Torrey Craig ,31,27,2,562,72,160,.450,31,96,.323,41,64,.641,.547,12,17,.706,27,88,115,33,22,17,28,56,187
11,Elfrid Payton ,27,50,1,549,67,175,.383,4,18,.222,63,157,.401,.394,12,32,.375,21,67,88,99,25,6,47,38,150
12,Bismack Biyombo ,29,36,3,506,86,145,.593,0,0,.000,86,145,.593,.593,38,71,.535,63,104,167,23,12,26,25,70,210
13,Jalen Smith ,21,29,4,382,63,137,.460,9,39,.231,54,98,.551,.493,40,52,.769,55,84,139,6,6,18,22,52,175
14,Ish Wainright ,27,45,0,359,41,104,.394,19,59,.322,22,45,.489,.486,7,12,.583,27,27,54,15,20,6,13,49,108
15,Aaron Holiday ,25,22,1,358,51,124,.411,16,36,.444,35,88,.398,.476,31,33,.939,15,40,55,75,18,0,28,32,149
16,List Endington ,0,0,0,0,0,0,.000,0,0,.000,0,0,.000,.000,0,0,.000,0,0,0,0,0,0,0,0,0
