Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Karl-Anthony Towns ,26,74,74,2476,642,1214,.529,150,366,.410,492,848,.580,.591,384,467,.822,194,533,727,269,72,83,226,267,1818
2,Anthony Edwards ,20,72,72,2466,549,1245,.441,215,602,.357,334,643,.519,.527,220,280,.786,62,281,343,275,105,46,190,164,1533
3,D'Angelo Russell ,25,65,65,2077,401,975,.411,176,518,.340,225,457,.492,.502,198,240,.825,25,191,216,460,62,22,165,130,1176
4,Malik Beasley ,25,79,18,1976,332,850,.391,240,637,.377,92,213,.432,.532,49,60,.817,26,201,227,116,43,12,43,88,953
5,Jarred Vanderbilt ,22,74,67,1880,212,361,.587,2,14,.143,210,347,.605,.590,86,131,.656,215,409,624,94,99,46,73,181,512
6,Jaden McDaniels ,21,70,31,1803,255,554,.460,80,252,.317,175,302,.579,.532,57,71,.803,76,217,293,79,52,54,75,224,647
7,Patrick Beverley ,33,58,54,1476,177,436,.406,83,242,.343,94,194,.485,.501,96,133,.722,62,178,240,268,67,52,73,174,533
8,Naz Reid ,22,77,6,1215,233,476,.489,57,166,.343,176,310,.568,.549,114,149,.765,102,199,301,71,40,71,82,172,637
9,Taurean Prince ,27,69,8,1177,177,390,.454,86,229,.376,91,161,.565,.564,62,82,.756,26,148,174,68,47,23,53,116,502
10,Jaylen Nowell ,22,62,1,975,196,413,.475,63,160,.394,133,253,.526,.551,72,92,.783,22,101,123,130,27,10,36,73,527
11,Jordan McLaughlin ,25,62,3,902,88,200,.440,27,85,.318,61,115,.530,.508,30,40,.750,22,72,94,180,57,10,38,54,233
12,Josh Okogie ,23,49,6,516,42,104,.404,14,47,.298,28,57,.491,.471,35,51,.686,29,41,70,25,26,12,23,53,133
13,Nathan Knight ,24,37,2,267,45,88,.511,4,13,.308,41,75,.547,.534,44,60,.733,32,53,85,22,7,8,18,42,138
14,List Endington ,0,0,0,0,0,0,.000,0,0,.000,0,0,.000,.000,0,0,.000,0,0,0,0,0,0,0,0,0
