Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andrew Wiggins ,26,73,73,2329,475,1019,.466,157,399,.393,318,620,.513,.543,149,235,.634,85,240,325,161,76,51,111,158,1256
2,Jordan Poole ,22,76,51,2283,474,1058,.448,211,580,.364,263,478,.550,.548,246,266,.925,34,226,260,304,60,23,187,206,1405
3,Stephen Curry ,33,64,64,2211,535,1224,.437,285,750,.380,250,474,.527,.554,275,298,.923,34,301,335,404,85,23,206,130,1630
4,Kevon Looney ,25,82,80,1732,208,364,.571,0,1,.000,208,363,.573,.571,75,125,.600,208,388,596,165,50,52,67,215,491
5,Otto PorterJr. ,28,63,15,1396,193,416,.464,80,216,.370,113,200,.565,.560,49,61,.803,86,276,362,94,68,29,37,83,515
6,Draymond Green ,31,46,44,1329,135,257,.525,16,54,.296,119,203,.586,.556,60,91,.659,45,291,336,320,61,50,139,136,346
7,Damion Lee ,29,63,5,1256,169,383,.441,63,187,.337,106,196,.541,.523,66,75,.880,27,176,203,63,39,6,38,95,467
8,Gary PaytonII ,29,71,16,1247,212,344,.616,43,120,.358,169,224,.754,.679,35,58,.603,72,175,247,64,96,22,40,131,502
9,Jonathan Kuminga ,19,70,12,1185,236,460,.513,50,149,.336,186,311,.598,.567,130,190,.684,54,180,234,64,31,22,74,146,652
10,Nemanja Bjelica ,33,71,0,1142,160,342,.468,54,149,.362,106,193,.549,.547,59,81,.728,62,232,294,159,41,26,87,128,433
11,Juan Toscano-Anderson ,28,73,6,994,115,235,.489,28,87,.322,87,148,.588,.549,40,70,.571,28,148,176,127,48,17,68,115,298
12,Klay Thompson ,31,32,32,941,246,573,.429,114,296,.385,132,277,.477,.529,46,51,.902,15,110,125,88,16,17,43,54,652
13,Moses Moody ,19,52,11,607,80,183,.437,40,110,.364,40,73,.548,.546,28,36,.778,17,63,80,23,7,10,13,43,228
14,Andre Iguodala ,38,31,0,603,46,121,.380,17,74,.230,29,47,.617,.450,15,20,.750,21,79,100,114,27,22,28,34,124
15,List Endington ,0,0,0,0,0,0,.000,0,0,.000,0,0,.000,.000,0,0,.000,0,0,0,0,0,0,0,0,0
